cell,concept,alpha,content_enjoyment,content_usefulness,production_complexity,production_quality
tokemb_all,piano,-0.9522,6.342643,7.416761,5.456468,7.217711
tokemb_all,piano,-0.8332,6.396711,7.453119,5.472764,7.257603
tokemb_all,piano,-0.7142,6.456356,7.469651,5.487372,7.288249
tokemb_all,piano,-0.5951,6.535475,7.498108,5.501518,7.314593
tokemb_all,piano,-0.4761,6.53782,7.503831,5.476577,7.321092
tokemb_all,piano,-0.3571,6.624008,7.544768,5.502748,7.369429
tokemb_all,piano,-0.2381,6.64686,7.552084,5.518687,7.361956
tokemb_all,piano,-0.119,6.707682,7.579255,5.496581,7.382116
tokemb_all,piano,0.0,6.749202,7.59597,5.500024,7.40565
tokemb_all,piano,0.0923,6.765801,7.610028,5.512651,7.412596
tokemb_all,piano,0.1846,6.788933,7.618257,5.515423,7.423996
tokemb_all,piano,0.2768,6.784141,7.622103,5.517596,7.432639
tokemb_all,piano,0.3691,6.825393,7.642637,5.514842,7.452448
tokemb_all,piano,0.4614,6.809195,7.637367,5.493975,7.450106
tokemb_all,piano,0.5537,6.825464,7.628079,5.511072,7.447984
tokemb_all,piano,0.646,6.856512,7.643268,5.517402,7.455298
tokemb_all,piano,0.7382,6.847425,7.638844,5.49713,7.458295
tokemb_all,piano,0.8305,6.855119,7.649225,5.505602,7.450985
tokemb_all,piano,0.9228,6.856656,7.664934,5.500658,7.483462
tokemb_all,piano,1.0151,6.946059,7.717946,5.4815,7.535676
tokemb_all,piano,1.1074,6.948646,7.727152,5.420094,7.557823
tokemb_all,piano,1.1996,6.987794,7.7526,5.315851,7.580946
tokemb_all,piano,1.2919,7.101978,7.82398,5.241303,7.647837
tokemb_all,piano,1.3842,7.160479,7.875309,5.180938,7.692751
tokemb_loc,piano,-1.8283,5.881162,7.235023,5.363215,7.03997
tokemb_loc,piano,-1.7064,5.980341,7.274039,5.377293,7.063255
tokemb_loc,piano,-1.5845,6.03771,7.298959,5.395412,7.091816
tokemb_loc,piano,-1.4626,6.10172,7.316861,5.395903,7.116215
tokemb_loc,piano,-1.3408,6.130085,7.324227,5.424345,7.122193
tokemb_loc,piano,-1.2189,6.242448,7.382018,5.465264,7.171738
tokemb_loc,piano,-1.097,6.284679,7.402969,5.462542,7.189202
tokemb_loc,piano,-0.9751,6.350931,7.43872,5.456625,7.22812
tokemb_loc,piano,-0.8532,6.361371,7.433295,5.447631,7.243721
tokemb_loc,piano,-0.7313,6.434238,7.456297,5.46606,7.27104
tokemb_loc,piano,-0.6094,6.472058,7.456607,5.468432,7.284058
tokemb_loc,piano,-0.4875,6.563546,7.513427,5.472674,7.344602
tokemb_loc,piano,-0.3657,6.619243,7.525057,5.485064,7.35264
tokemb_loc,piano,-0.2438,6.661819,7.545022,5.489923,7.38076
tokemb_loc,piano,-0.1219,6.67362,7.5431,5.493805,7.384075
tokemb_loc,piano,0.0,6.749202,7.59597,5.500024,7.40565
tokemb_loc,piano,0.0954,6.71637,7.544936,5.482576,7.379484
tokemb_loc,piano,0.1908,6.744805,7.567983,5.506592,7.407701
tokemb_loc,piano,0.2862,6.763765,7.579821,5.490757,7.415538
tokemb_loc,piano,0.3816,6.788801,7.608021,5.533402,7.433451
tokemb_loc,piano,0.477,6.807273,7.613695,5.540287,7.428629
tokemb_loc,piano,0.5724,6.829673,7.642803,5.52869,7.469961
tokemb_loc,piano,0.6678,6.825093,7.641641,5.528572,7.467811
tokemb_loc,piano,0.7631,6.825945,7.64053,5.536311,7.458337
tokemb_loc,piano,0.8585,6.81855,7.644975,5.520401,7.453243
tokemb_loc,piano,0.9539,6.836287,7.657072,5.495801,7.461218
tokemb_loc,piano,1.0493,6.899409,7.716622,5.441848,7.527522
tokemb_loc,piano,1.1447,6.94338,7.735934,5.378652,7.560942
tokemb_loc,piano,1.2401,7.040912,7.802967,5.285371,7.624684
tokemb_loc,piano,1.3355,7.0888,7.837897,5.210431,7.649978
tokemb_loc,piano,1.4309,7.127339,7.864968,5.149812,7.673921
freesliders_all,piano,-2.0965,6.456406,7.358679,5.580124,7.127794
freesliders_all,piano,-1.9567,6.442101,7.354583,5.562622,7.128696
freesliders_all,piano,-1.817,6.479798,7.380058,5.553033,7.159905
freesliders_all,piano,-1.6772,6.50807,7.393986,5.559192,7.182296
freesliders_all,piano,-1.5374,6.500825,7.414684,5.547023,7.208929
freesliders_all,piano,-1.3977,6.526442,7.423253,5.555581,7.23997
freesliders_all,piano,-1.2579,6.558114,7.443354,5.538169,7.265063
freesliders_all,piano,-1.1181,6.576622,7.464164,5.561468,7.27631
freesliders_all,piano,-0.9784,6.603888,7.481371,5.558091,7.276793
freesliders_all,piano,-0.8386,6.618971,7.487172,5.55337,7.289061
freesliders_all,piano,-0.6988,6.682466,7.518592,5.543674,7.328044
freesliders_all,piano,-0.5591,6.674199,7.529048,5.528888,7.348394
freesliders_all,piano,-0.4193,6.692377,7.553943,5.520923,7.372669
freesliders_all,piano,-0.2795,6.711307,7.546218,5.533254,7.361708
freesliders_all,piano,-0.1398,6.708101,7.561037,5.49886,7.389209
freesliders_all,piano,0.0,6.749202,7.59597,5.500024,7.40565
freesliders_all,piano,0.1719,6.737064,7.597324,5.492012,7.394102
freesliders_all,piano,0.3439,6.718059,7.600687,5.477371,7.390019
freesliders_all,piano,0.5158,6.747874,7.604279,5.483995,7.398655
freesliders_all,piano,0.6877,6.772266,7.628741,5.448961,7.428455
freesliders_all,piano,0.8596,6.760831,7.613521,5.443282,7.41309
freesliders_all,piano,1.0316,6.768401,7.619903,5.435815,7.410017
freesliders_all,piano,1.2035,6.808611,7.650269,5.433725,7.448566
freesliders_all,piano,1.3754,6.800155,7.657207,5.393501,7.439091
freesliders_all,piano,1.5473,6.808612,7.669564,5.369637,7.454865
freesliders_all,piano,1.7193,6.824856,7.686081,5.336851,7.488195
freesliders_all,piano,1.8912,6.821614,7.694871,5.30279,7.496952
freesliders_all,piano,2.0631,6.783631,7.68259,5.27336,7.47993
freesliders_all,piano,2.235,6.790424,7.699108,5.249552,7.489131
freesliders_all,piano,2.407,6.821265,7.714754,5.250017,7.508809
freesliders_all,piano,2.5789,6.796039,7.696642,5.196748,7.491356
freesliders_loc,piano,-2.3005,6.421259,7.347418,5.572109,7.134133
freesliders_loc,piano,-2.1471,6.410666,7.362914,5.545007,7.141542
freesliders_loc,piano,-1.9938,6.417598,7.358936,5.519095,7.154447
freesliders_loc,piano,-1.8404,6.432572,7.357774,5.542968,7.148747
freesliders_loc,piano,-1.687,6.5027,7.403349,5.534928,7.203582
freesliders_loc,piano,-1.5337,6.524613,7.427635,5.555853,7.227413
freesliders_loc,piano,-1.3803,6.550386,7.431723,5.538421,7.252802
freesliders_loc,piano,-1.2269,6.576712,7.477186,5.553762,7.277098
freesliders_loc,piano,-1.0736,6.605865,7.480879,5.546738,7.298776
freesliders_loc,piano,-0.9202,6.642533,7.507104,5.526893,7.315291
freesliders_loc,piano,-0.7668,6.62881,7.50311,5.513484,7.317377
freesliders_loc,piano,-0.6135,6.682884,7.528289,5.524303,7.345179
freesliders_loc,piano,-0.4601,6.691816,7.532186,5.530974,7.350579
freesliders_loc,piano,-0.3067,6.687965,7.547453,5.520608,7.363761
freesliders_loc,piano,-0.1534,6.718362,7.583497,5.508017,7.399649
freesliders_loc,piano,0.0,6.749202,7.59597,5.500024,7.40565
freesliders_loc,piano,0.1978,6.729196,7.593023,5.497507,7.386816
freesliders_loc,piano,0.3955,6.725085,7.605398,5.473255,7.383636
freesliders_loc,piano,0.5933,6.716122,7.592943,5.467155,7.389127
freesliders_loc,piano,0.7911,6.749932,7.617953,5.456608,7.410895
freesliders_loc,piano,0.9888,6.761478,7.628628,5.434695,7.43218
freesliders_loc,piano,1.1866,6.788278,7.633436,5.424931,7.431862
freesliders_loc,piano,1.3844,6.777723,7.62949,5.379947,7.427839
freesliders_loc,piano,1.5821,6.772797,7.653327,5.349345,7.438709
freesliders_loc,piano,1.7799,6.779714,7.673191,5.311673,7.465885
freesliders_loc,piano,1.9777,6.795263,7.685082,5.265776,7.487156
freesliders_loc,piano,2.1754,6.824899,7.703718,5.261945,7.50014
freesliders_loc,piano,2.3732,6.818587,7.706973,5.243698,7.492658
freesliders_loc,piano,2.571,6.856142,7.739548,5.228037,7.540082
freesliders_loc,piano,2.7687,6.849045,7.753372,5.191554,7.541407
freesliders_loc,piano,2.9665,6.879453,7.746563,5.187319,7.541671
cs_all,piano,-0.1809,6.175222,7.203898,5.727958,6.959556
cs_all,piano,-0.1688,6.23368,7.246848,5.724227,7.015863
cs_all,piano,-0.1568,6.298034,7.306524,5.73352,7.057356
cs_all,piano,-0.1447,6.293779,7.304891,5.712151,7.053934
cs_all,piano,-0.1327,6.348798,7.348696,5.686831,7.114587
cs_all,piano,-0.1206,6.410472,7.398464,5.687961,7.157895
cs_all,piano,-0.1085,6.435228,7.404541,5.67168,7.173252
cs_all,piano,-0.0965,6.452481,7.410963,5.658925,7.196035
cs_all,piano,-0.0844,6.516827,7.450969,5.644917,7.233674
cs_all,piano,-0.0724,6.5632,7.458334,5.625939,7.250289
cs_all,piano,-0.0603,6.614928,7.490304,5.600855,7.291296
cs_all,piano,-0.0482,6.655305,7.526131,5.583316,7.334504
cs_all,piano,-0.0362,6.697589,7.557971,5.566556,7.375232
cs_all,piano,-0.0241,6.702391,7.560918,5.522003,7.389346
cs_all,piano,-0.0121,6.733969,7.586896,5.512791,7.404801
cs_all,piano,0.0,6.719814,7.578861,5.493161,7.399618
cs_all,piano,0.0111,6.75779,7.601156,5.50675,7.396975
cs_all,piano,0.0222,6.772585,7.620364,5.48594,7.423888
cs_all,piano,0.0333,6.831826,7.65547,5.488454,7.448406
cs_all,piano,0.0444,6.855176,7.652917,5.458513,7.456957
cs_all,piano,0.0555,6.870667,7.657273,5.430321,7.45663
cs_all,piano,0.0666,6.896416,7.681512,5.394255,7.464208
cs_all,piano,0.0777,6.88656,7.68475,5.369677,7.475442
cs_all,piano,0.0887,6.907593,7.707657,5.335676,7.485989
cs_all,piano,0.0998,6.939409,7.723914,5.308609,7.510068
cs_all,piano,0.1109,6.944913,7.733625,5.254797,7.515783
cs_all,piano,0.122,6.989596,7.762043,5.219984,7.551561
cs_all,piano,0.1331,7.008073,7.756315,5.197338,7.549173
cs_all,piano,0.1442,7.039466,7.776359,5.162255,7.558734
cs_all,piano,0.1553,7.071585,7.789004,5.119588,7.576289
cs_all,piano,0.1664,7.114601,7.817655,5.104057,7.604489
cs_loc,piano,-0.5281,6.471101,7.358863,5.776371,7.059008
cs_loc,piano,-0.4929,6.50398,7.38456,5.745021,7.087393
cs_loc,piano,-0.4577,6.548805,7.419021,5.769076,7.128154
cs_loc,piano,-0.4225,6.55827,7.43163,5.750245,7.152619
cs_loc,piano,-0.3873,6.592608,7.468687,5.736582,7.18427
cs_loc,piano,-0.3521,6.589993,7.46909,5.707107,7.209909
cs_loc,piano,-0.3169,6.627031,7.51461,5.723107,7.248172
cs_loc,piano,-0.2817,6.622455,7.504375,5.699659,7.259391
cs_loc,piano,-0.2464,6.642832,7.533819,5.696069,7.296223
cs_loc,piano,-0.2112,6.692341,7.573861,5.692719,7.34153
cs_loc,piano,-0.176,6.688197,7.564686,5.623669,7.338539
cs_loc,piano,-0.1408,6.686596,7.560618,5.59443,7.346846
cs_loc,piano,-0.1056,6.723088,7.586311,5.557255,7.381359
cs_loc,piano,-0.0704,6.742689,7.582658,5.529018,7.398972
cs_loc,piano,-0.0352,6.751285,7.591073,5.5298,7.398927
cs_loc,piano,0.0,6.719814,7.578861,5.493161,7.399618
cs_loc,piano,0.0292,6.733787,7.590151,5.492573,7.390157
cs_loc,piano,0.0584,6.774678,7.616023,5.495084,7.422172
cs_loc,piano,0.0877,6.802993,7.619145,5.471545,7.417415
cs_loc,piano,0.1169,6.816199,7.62724,5.457942,7.427812
cs_loc,piano,0.1461,6.795153,7.620435,5.426661,7.415564
cs_loc,piano,0.1753,6.782433,7.622374,5.379967,7.419453
cs_loc,piano,0.2045,6.766619,7.607499,5.347732,7.419077
cs_loc,piano,0.2338,6.764753,7.622202,5.319549,7.421003
cs_loc,piano,0.263,6.73791,7.602033,5.292482,7.407146
cs_loc,piano,0.2922,6.729566,7.597407,5.2481,7.401901
cs_loc,piano,0.3214,6.76493,7.626474,5.228848,7.42956
cs_loc,piano,0.3506,6.763966,7.614641,5.1638,7.402725
cs_loc,piano,0.3799,6.828016,7.661398,5.122325,7.467058
cs_loc,piano,0.4091,6.853702,7.692114,5.074273,7.486311
cs_loc,piano,0.4383,6.89035,7.685911,5.058422,7.475051
austeer_all,piano,-20.631,6.371333,7.402803,5.509252,7.113314
austeer_all,piano,-19.2556,6.37355,7.400562,5.511341,7.110122
austeer_all,piano,-17.8802,6.382345,7.403163,5.514895,7.137509
austeer_all,piano,-16.5048,6.401423,7.416209,5.510466,7.14837
austeer_all,piano,-15.1294,6.392262,7.407575,5.507868,7.135051
austeer_all,piano,-13.754,6.413649,7.412717,5.510439,7.137206
austeer_all,piano,-12.3786,6.425558,7.449035,5.5246,7.169731
austeer_all,piano,-11.0032,6.430423,7.434036,5.515749,7.1613
austeer_all,piano,-9.6278,6.462057,7.439461,5.526096,7.172511
austeer_all,piano,-8.2524,6.488534,7.459454,5.521884,7.204697
austeer_all,piano,-6.877,6.505527,7.47195,5.514063,7.224174
austeer_all,piano,-5.5016,6.533474,7.484603,5.512675,7.239712
austeer_all,piano,-4.1262,6.550011,7.483586,5.50648,7.256108
austeer_all,piano,-2.7508,6.601837,7.499642,5.510059,7.272944
austeer_all,piano,-1.3754,6.671559,7.543768,5.503784,7.33777
austeer_all,piano,0.0,6.749202,7.59597,5.500024,7.40565
austeer_all,piano,1.3726,6.76077,7.599658,5.471588,7.430256
austeer_all,piano,2.7451,6.719491,7.599218,5.454406,7.422744
austeer_all,piano,4.1177,6.701186,7.597684,5.442503,7.423073
austeer_all,piano,5.4903,6.654139,7.579185,5.41272,7.394207
austeer_all,piano,6.8628,6.618646,7.5594,5.396393,7.369757
austeer_all,piano,8.2354,6.585866,7.547817,5.39382,7.359857
austeer_all,piano,9.608,6.579031,7.547952,5.371053,7.346627
austeer_all,piano,10.9805,6.543095,7.544826,5.342936,7.331337
austeer_all,piano,12.3531,6.514407,7.531459,5.324851,7.326158
austeer_all,piano,13.7257,6.505556,7.520932,5.288211,7.320004
austeer_all,piano,15.0982,6.472718,7.507014,5.270566,7.3095
austeer_all,piano,16.4708,6.409594,7.472646,5.239536,7.265558
austeer_all,piano,17.8434,6.41064,7.482506,5.246169,7.278181
austeer_all,piano,19.2159,6.397905,7.47077,5.22529,7.264342
austeer_all,piano,20.5885,6.405684,7.474098,5.211212,7.272116
austeer_loc,piano,-3.3673,6.302718,7.281883,5.44403,7.070799
austeer_loc,piano,-3.1428,6.330905,7.311363,5.430825,7.110342
austeer_loc,piano,-2.9183,6.366019,7.340608,5.450107,7.123697
austeer_loc,piano,-2.6938,6.422942,7.36574,5.47312,7.162514
austeer_loc,piano,-2.4694,6.45285,7.376596,5.464715,7.178426
austeer_loc,piano,-2.2449,6.447007,7.383127,5.454891,7.194058
austeer_loc,piano,-2.0204,6.491068,7.398726,5.465649,7.212843
austeer_loc,piano,-1.7959,6.550457,7.444193,5.462182,7.267852
austeer_loc,piano,-1.5714,6.572352,7.452583,5.486383,7.286548
austeer_loc,piano,-1.3469,6.64226,7.503256,5.514322,7.324307
austeer_loc,piano,-1.1224,6.662969,7.525716,5.523675,7.351794
austeer_loc,piano,-0.8979,6.701594,7.558313,5.525712,7.384334
austeer_loc,piano,-0.6735,6.665429,7.528913,5.505572,7.348437
austeer_loc,piano,-0.449,6.719653,7.560745,5.515584,7.38945
austeer_loc,piano,-0.2245,6.731702,7.580323,5.487948,7.401743
austeer_loc,piano,0.0,6.749202,7.59597,5.500024,7.40565
austeer_loc,piano,0.2621,6.739474,7.596284,5.485643,7.402895
austeer_loc,piano,0.5243,6.778823,7.624945,5.490444,7.42394
austeer_loc,piano,0.7864,6.728406,7.585513,5.46728,7.374616
austeer_loc,piano,1.0485,6.733681,7.598168,5.442807,7.382818
austeer_loc,piano,1.3106,6.745082,7.610829,5.410835,7.394387
austeer_loc,piano,1.5728,6.77267,7.639173,5.388693,7.417079
austeer_loc,piano,1.8349,6.76883,7.640069,5.368741,7.422262
austeer_loc,piano,2.097,6.781259,7.657368,5.353238,7.446149
austeer_loc,piano,2.3591,6.778137,7.662988,5.33459,7.443128
austeer_loc,piano,2.6213,6.786923,7.676581,5.326414,7.466055
austeer_loc,piano,2.8834,6.787893,7.677317,5.298818,7.480853
austeer_loc,piano,3.1455,6.779321,7.663778,5.292399,7.452396
austeer_loc,piano,3.4076,6.786909,7.698129,5.275967,7.479029
austeer_loc,piano,3.6698,6.795666,7.697052,5.26981,7.480213
austeer_loc,piano,3.9319,6.824401,7.731796,5.260379,7.507528
caa_all,piano,-66.3859,6.852634,7.580338,5.620071,7.46922
